Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013
Alameda County,"Alameda County, California",1914046110,213184643,50,0,4,9,6001,6,1,1510271,97652,94546,91070,57353,150090,228204,227491,222617,173502,90437,52576,24733
Alpine County,"Alpine County, California",1912271907,12557251,50,0,4,9,6003,6,3,1175,71,80,69,36,70,97,136,215,235,109,51,6
Amador County,"Amador County, California",1539962991,29456575,50,0,4,9,6005,6,5,38091,1431,1655,1881,1426,2510,3640,4518,6369,6796,4455,2408,1002
Butte County,"Butte County, California",4238423238,105325758,50,0,4,9,6007,6,7,220000,12409,12439,12911,8409,32250,26681,23329,28877,28878,17185,10962,5670
Calaveras County,"Calaveras County, California",2641819725,43810420,50,0,4,9,6009,6,9,45578,1992,2239,2770,1942,2834,3608,4605,7565,8458,5809,2784,972
Colusa County,"Colusa County, California",2980379369,14581020,50,0,4,9,6011,6,11,21419,1841,1733,1692,1144,1916,2780,2678,2767,2373,1367,779,349
Contra Costa County,"Contra Costa County, California",1854268836,227485306,50,0,4,9,6013,6,13,1049025,67018,72285,74444,46758,86951,129643,148650,164080,128758,70719,40347,19372
Del Norte County,"Del Norte County, California",2606493856,578525663,50,0,4,9,6015,6,15,28610,1703,1567,1718,1150,2519,4081,3832,4450,3717,2153,1263,457
El Dorado County,"El Dorado County, California",4423396606,203243236,50,0,4,9,6017,6,17,181058,9513,11126,12506,8030,13450,17244,22203,32346,28116,15437,7969,3118
Fresno County,"Fresno County, California",15431126407,137815999,50,0,4,9,6019,6,19,930450,78980,75040,75409,48078,108518,132729,114369,115052,88854,49499,30304,13618
Glenn County,"Glenn County, California",3403106702,33750196,50,0,4,9,6021,6,21,28122,2178,2115,2227,1345,2581,3510,3343,3835,3251,2046,1185,506
Humboldt County,"Humboldt County, California",9241044673,1254256396,50,0,4,9,6023,6,23,134623,7738,7324,7242,4757,16652,19995,15068,18749,19373,9671,5489,2565
Imperial County,"Imperial County, California",10817352524,790247942,50,0,4,9,6025,6,25,174528,13526,13841,14536,9195,19040,24197,22941,22497,16603,9791,6356,2005
Inyo County,"Inyo County, California",26368354217,119208057,50,0,4,9,6027,6,27,18546,1070,985,1134,711,1241,2020,1969,2961,2920,1818,1196,521
Kern County,"Kern County, California",21061565098,79577235,50,0,4,9,6029,6,29,839631,72885,68694,68473,44029,93803,122046,108500,108479,77285,43502,23473,8462
Kings County,"Kings County, California",3598582308,5468555,50,0,4,9,6031,6,31,152982,12877,11564,11324,6783,17731,25589,21878,20282,12924,6844,3809,1377
Lake County,"Lake County, California",3254227528,188962335,50,0,4,9,6033,6,33,64665,3633,3574,3888,2577,4975,6603,7095,10255,10625,6553,3502,1385
Lassen County,"Lassen County, California",11761612172,463440721,50,0,4,9,6035,6,35,34895,1625,1595,1853,1220,3718,6337,5513,5447,4113,1984,1041,449
Los Angeles County,"Los Angeles County, California",10509869649,1795012906,50,0,4,9,6037,6,37,9818605,645793,633690,678845,443880,1062538,1475731,1430326,1368947,1013156,568470,345603,151626
Madera County,"Madera County, California",5534982985,41957504,50,0,4,9,6039,6,39,150865,11983,11756,11755,7355,15901,20562,19167,19291,15833,9868,5468,1926
Marin County,"Marin County, California",1347585521,797420433,50,0,4,9,6041,6,41,252409,13932,15481,14241,8560,14546,24836,36478,42055,40088,23211,12425,6556
Mariposa County,"Mariposa County, California",3752416976,36271400,50,0,4,9,6043,6,43,18251,775,821,987,659,1194,1651,1828,3232,3283,2253,1186,382
Mendocino County,"Mendocino County, California",9081386386,962952644,50,0,4,9,6045,6,45,87841,5347,5259,5390,3465,7022,10704,10268,12476,14417,7556,3983,1954
Merced County,"Merced County, California",5011554741,112760487,50,0,4,9,6047,6,47,255793,22226,22167,22115,14190,30456,35060,31967,31007,22645,13205,7717,3038
Modoc County,"Modoc County, California",10146977156,739774453,50,0,4,9,6049,6,49,9686,545,564,602,413,613,904,1062,1444,1634,1108,570,227
Mono County,"Mono County, California",7896827391,214695487,50,0,4,9,6051,6,51,14202,893,828,770,488,1450,2253,1909,2342,1892,922,376,79
Monterey County,"Monterey County, California",8496702738,1270714482,50,0,4,9,6053,6,53,415057,32547,30577,29037,18852,46253,62077,54820,53254,43218,22921,14744,6757
Napa County,"Napa County, California",1938247338,104169342,50,0,4,9,6055,6,55,136484,8131,8576,9040,5739,12023,16755,17851,19932,17843,10522,6576,3496
Nevada County,"Nevada County, California",2480616988,41514942,50,0,4,9,6057,6,57,98764,4365,4950,5798,3993,6537,9654,10485,15826,17982,10598,5817,2759
Orange County,"Orange County, California",2047561084,407916814,50,0,4,9,6059,6,59,3010232,191691,198769,210195,136004,305286,413528,439043,444185,321854,187454,112703,49520
Placer County,"Placer County, California",3644136017,247205361,50,0,4,9,6061,6,61,348432,20851,23604,24986,15644,26590,39173,46565,53339,44118,28990,17318,7254
Plumas County,"Plumas County, California",6612350713,156395470,50,0,4,9,6063,6,63,20007,883,968,1022,728,1495,1698,1908,3226,3925,2534,1196,424
Riverside County,"Riverside County, California",18664696661,251073334,50,0,4,9,6065,6,65,2189641,162438,167065,177644,112961,228736,282429,293305,292738,213739,140598,85796,32192
Sacramento County,"Sacramento County, California",2498415670,76077248,50,0,4,9,6067,6,67,1418788,101063,98112,99820,64058,143530,206646,190835,200536,155637,83295,52193,23063
San Benito County,"San Benito County, California",3596742302,4555039,50,0,4,9,6069,6,69,55269,4092,4326,4709,2939,5102,6931,7621,8249,5940,2978,1684,698
San Bernardino County,"San Bernardino County, California",51947229509,124028343,50,0,4,9,6071,6,71,2035210,158790,157368,168792,109638,229897,282091,272949,277294,197043,103495,56979,20874
San Diego County,"San Diego County, California",10895120648,826347909,50,0,4,9,6073,6,73,3095313,203423,194029,198716,128000,367845,470922,420563,430774,329616,180554,116911,53960
San Francisco County,"San Francisco County, California",121399963,479190317,50,0,4,9,6075,6,75,805235,35203,28462,26299,17560,77664,168120,133682,111807,96596,54322,38029,17491
San Joaquin County,"San Joaquin County, California",3603505998,91108644,50,0,4,9,6077,6,77,685306,54228,54810,56165,35521,71312,90815,90738,91839,68697,38530,22709,9942
San Luis Obispo County,"San Luis Obispo County, California",8543248461,820974646,50,0,4,9,6079,6,79,269637,13343,13773,14201,9524,39545,32108,29752,39253,37116,21187,13531,6304
San Mateo County,"San Mateo County, California",1161371825,757704380,50,0,4,9,6081,6,81,718451,46360,44729,42463,26220,55127,99334,108100,110669,89187,49985,30973,15304
Santa Barbara County,"Santa Barbara County, California",7083838022,2729829365,50,0,4,9,6083,6,83,423895,27350,26303,26626,17768,63267,57692,50478,54998,45015,26776,18532,9090
Santa Clara County,"Santa Clara County, California",3341343470,36174996,50,0,4,9,6085,6,85,1781642,124464,121928,113570,69583,158078,269566,278369,263594,185546,106521,62948,27475
Santa Cruz County,"Santa Cruz County, California",1152986019,419568865,50,0,4,9,6087,6,87,262382,15045,15071,15347,9955,36270,33749,33075,38777,35935,15874,8668,4616
Shasta County,"Shasta County, California",9778246966,186530888,50,0,4,9,6089,6,89,177223,10268,10537,11394,7453,15989,19957,19567,26585,25506,16551,9446,3970
Sierra County,"Sierra County, California",2468813797,23299108,50,0,4,9,6091,6,91,3240,147,131,156,118,170,243,335,571,693,396,207,73
Siskiyou County,"Siskiyou County, California",16259652221,179889482,50,0,4,9,6093,6,93,44900,2473,2410,2726,1716,3219,4277,4536,6910,7851,4941,2689,1152
Solano County,"Solano County, California",2128361199,218665937,50,0,4,9,6095,6,95,413344,26852,27311,28575,18797,40448,54914,54423,63950,51227,25997,14838,6012
Sonoma County,"Sonoma County, California",4081430136,497530353,50,0,4,9,6097,6,97,483878,28199,29263,29724,19285,46081,61297,60603,73518,68544,35544,20614,11206
Stanislaus County,"Stanislaus County, California",3871582888,51437339,50,0,4,9,6099,6,99,514453,39779,40013,41276,26090,53836,70194,66726,69558,52150,29637,17785,7409
Sutter County,"Sutter County, California",1560235601,15747004,50,0,4,9,6101,6,101,94737,7153,7292,7146,4521,9142,12666,11980,12742,10105,6490,3979,1521
Tehama County,"Tehama County, California",7639709781,32276063,50,0,4,9,6103,6,103,63463,4409,4326,4431,2994,5316,7088,7316,9254,8258,5720,3172,1179
Trinity County,"Trinity County, California",8234229734,73407861,50,0,4,9,6105,6,105,13786,618,640,744,518,815,1271,1388,2326,2697,1674,837,258
Tulare County,"Tulare County, California",12494658169,37391616,50,0,4,9,6107,6,107,442179,41074,39950,38926,24174,47326,61859,54685,52351,40055,22946,13474,5359
Tuolumne County,"Tuolumne County, California",5752062580,138683578,50,0,4,9,6109,6,109,55365,2328,2501,2920,1933,4228,6077,6018,8597,9469,6187,3632,1475
Ventura County,"Ventura County, California",4773691889,945991626,50,0,4,9,6111,6,111,823318,55336,56970,60390,39219,81371,105460,111083,123704,93476,51396,30870,14043
Yolo County,"Yolo County, California",2628032408,22969178,50,0,4,9,6113,6,113,200849,12577,12235,12693,8126,38377,28168,23913,24830,20159,10570,6227,2974
Yuba County,"Yuba County, California",1636454192,30998568,50,0,4,9,6115,6,115,72155,6217,5872,5547,3354,7507,10413,8875,9548,7567,4181,2311,763
